time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1773567108.01,-0.10,-0.95,0.10,-15.50,61.04,-27.54,0.96
1773567108.11,-0.27,-0.94,0.14,-2.47,48.30,-44.86,0.99
1773567108.21,-0.15,-1.08,0.13,-34.15,25.80,-44.89,1.10
1773567108.33,-0.30,-1.02,0.40,52.84,69.14,15.95,1.14
1773567108.43,0.03,-0.72,0.08,-80.21,2.50,-62.47,0.72
1773567108.53,-0.21,-1.07,0.24,91.28,107.04,2.75,1.11
1773567108.63,-0.03,-0.81,0.16,-13.76,48.46,-7.21,0.83
1773567108.74,-0.13,-0.99,0.08,26.73,92.75,-27.36,1.00
1773567108.83,-0.12,-1.01,0.40,38.06,92.81,-25.92,1.09
1773567108.93,-0.18,-1.10,0.25,-1.01,110.26,-16.46,1.15
1773567109.05,-0.29,-0.75,0.22,-6.14,36.03,-55.85,0.83
1773567109.15,-0.24,-0.96,0.13,30.82,121.36,-25.62,1.00
1773567109.24,-0.22,-0.82,0.20,22.52,83.13,-41.05,0.87
1773567109.35,-0.18,-0.92,0.11,6.41,94.44,-16.40,0.94
1773567109.45,-0.18,-1.02,0.24,24.76,35.53,-36.95,1.06
1773567109.56,-0.14,-1.12,0.29,-20.67,-1.15,-27.21,1.17
1773567109.66,-0.24,-0.76,0.40,14.05,-7.39,-21.28,0.89
1773567109.76,0.06,-0.88,0.11,-102.21,56.03,-31.51,0.88
1773567109.88,-0.14,-0.89,0.34,134.09,6.01,5.86,0.97
1773567109.97,-0.06,-0.92,0.11,-52.21,50.11,-30.47,0.93
1773567110.08,-0.02,-0.95,0.22,27.04,40.52,-43.68,0.97
1773567110.18,-0.14,-1.01,0.38,-47.98,108.84,-38.69,1.09
1773567110.28,-0.24,-1.10,0.37,70.60,124.87,-2.99,1.18
1773567110.40,-0.02,-0.71,0.24,-60.26,38.18,-60.52,0.75
1773567111.37,-0.05,-0.91,0.15,10.35,-35.82,15.56,0.92
