time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1773567046.0267208,-0.03,-0.93,0.33,-23.28,-138.5,49.92,0.99
1773567046.1427815,-0.06,-0.74,0.13,-31.18,-120.0,61.3,0.76
1773567046.2358143,-0.15,-0.66,0.13,-17.66,-94.41,44.47,0.69
1773567046.3487062,-0.08,-0.77,0.11,-35.07,-67.71,33.77,0.78
1773567046.4509585,-0.26,-0.89,0.42,31.63,-55.13,26.95,1.01
1773567046.5569415,-0.36,-1.07,0.33,-56.76,19.48,5.36,1.17
1773567046.655072,-0.48,-1.11,0.28,-53.92,-57.39,-60.21,1.25
1773567046.768639,-0.13,-0.98,0.36,-33.82,15.48,-57.73,1.05
1773567046.8734896,0.19,-1.15,-0.03,-57.47,-15.04,-0.41,1.17
1773567046.9678442,0.01,-1.11,-0.11,47.95,28.63,33.57,1.12
1773567047.0698752,0.04,-0.89,0.19,41.91,21.79,-62.76,0.91
1773567047.175246,0.11,-0.97,0.18,0.98,30.43,-90.49,1.0
1773567047.2694938,0.1,-0.9,0.18,-15.85,23.45,24.66,0.93
1773567047.3747256,0.05,-1.05,0.16,-3.11,-3.92,-25.57,1.07
1773567047.4845078,0.08,-0.85,0.17,-23.25,-43.56,-9.16,0.87
1773567048.28807,-0.06,-0.9,0.21,51.83,-6.55,53.14,0.93
1773567048.360738,-0.02,-1.01,0.28,55.3,-24.75,54.7,1.05
1773567048.4563136,-0.07,-0.9,0.31,25.6,-7.97,38.0,0.95
1773567048.56828,-0.09,-0.84,0.36,45.04,4.27,38.88,0.91
1773567048.6687918,-0.16,-0.78,0.32,31.04,42.3,9.46,0.85
1773567048.7719707,-0.05,-0.94,0.44,87.59,21.53,-47.74,1.04
1773567048.8673515,-0.32,-0.93,0.67,62.78,51.54,52.61,1.19
1773567048.96734,-0.43,-0.81,0.74,59.13,-46.87,64.9,1.17
1773567049.076292,-0.57,-0.86,0.65,-6.47,-15.07,51.48,1.22
1773567049.186046,-0.51,-0.79,0.56,-0.52,-48.0,15.08,1.1
