time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1773567016.59,-0.14,-0.92,0.22,-53.85,47.40,-62.73,0.95
1773567016.70,-0.09,-1.16,0.25,17.71,132.61,-45.68,1.19
1773567016.80,-0.04,-0.61,0.24,-9.15,-26.03,-27.91,0.66
1773567016.90,-0.04,-1.21,0.10,-56.26,187.59,5.22,1.21
1773567017.01,-0.16,-0.76,0.42,92.15,92.93,-57.99,0.88
1773567017.11,0.09,-0.89,0.23,8.08,153.27,-30.69,0.92
1773567017.22,-0.07,-0.93,0.45,1.02,163.57,-59.10,1.04
1773567017.32,-0.07,-0.90,0.29,45.48,125.43,-79.50,0.94
1773567017.42,-0.29,-0.86,0.25,-43.74,120.30,-45.45,0.94
1773567017.53,-0.16,-1.02,0.11,28.84,83.40,6.84,1.04
1773567017.63,-0.28,-0.91,0.26,-2.90,26.95,1.10,0.99
1773567017.72,-0.14,-0.93,0.10,-17.01,8.59,4.09,0.95
1773567018.61,-0.09,-0.92,0.12,-20.24,17.30,-15.97,0.94
1773567018.76,-0.00,-0.95,0.06,19.92,13.28,3.08,0.95
1773567018.81,0.02,-0.99,0.18,30.84,-21.33,3.50,1.01
1773567018.92,-0.02,-0.95,0.15,-8.21,-37.89,-3.18,0.96
1773567019.02,-0.11,-1.00,0.10,4.82,-20.66,-0.64,1.01
1773567019.13,-0.07,-0.94,0.15,-3.66,-28.34,-6.92,0.95
1773567019.22,-0.08,-0.98,0.14,-62.14,-1.19,11.75,0.99
1773567019.33,-0.19,-1.15,0.23,-15.11,92.63,21.91,1.18
1773567019.46,-0.04,-0.78,0.18,-0.24,-61.21,11.53,0.80
1773567019.54,-0.12,-0.95,0.19,-35.37,21.48,2.00,0.98
1773567019.64,-0.23,-0.94,0.33,69.18,-68.92,-21.41,1.03
1773567019.74,-0.09,-0.86,0.19,2.87,-110.12,48.82,0.89
1773567019.84,-0.22,-0.96,0.22,-10.98,-110.21,29.28,1.01
