time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1773566227.03,0.31,-0.15,0.89,-1.33,16.58,-103.45,0.96
1773566227.13,0.20,-0.16,0.81,-54.38,18.47,-71.94,0.85
1773566227.24,0.24,-0.27,0.98,1.51,21.07,-42.73,1.04
1773566227.34,0.23,0.48,1.23,-20.05,-52.20,-61.34,1.34
1773566227.44,0.13,-0.06,0.89,48.90,-15.83,-77.92,0.91
1773566227.55,0.16,0.08,0.83,-38.00,10.01,-38.78,0.85
1773566227.65,0.14,-0.01,0.76,-23.88,-35.12,-6.00,0.77
1773566227.75,0.10,-0.00,0.93,26.95,-12.34,-12.50,0.93
1773566227.86,0.11,-0.08,0.99,-6.76,-30.76,-34.12,1.00
1773566227.96,0.20,-0.19,1.02,-17.37,-47.92,-37.25,1.06
1773566228.06,0.41,0.37,1.05,-62.15,-26.92,-21.51,1.19
1773566228.17,0.30,0.02,0.70,-81.53,-6.38,1.31,0.76
1773566228.27,0.31,-0.03,0.78,72.55,-0.23,-15.77,0.83
1773566228.38,0.22,-0.14,0.84,49.48,3.24,13.80,0.88
1773566228.48,0.22,-0.16,0.88,-24.02,0.56,7.24,0.92
1773566228.58,0.27,-0.06,1.09,-33.82,26.24,-14.09,1.12
1773566228.69,0.34,0.26,1.11,-35.94,24.56,1.89,1.19
1773566228.79,0.02,0.13,0.81,-6.11,-50.23,-7.57,0.82
1773566228.89,0.10,-0.06,0.81,67.21,-5.33,-48.63,0.82
1773566229.00,0.07,0.00,0.86,3.77,-24.75,-10.61,0.86
1773566229.10,0.10,-0.07,0.95,7.47,-20.47,4.63,0.96
1773566229.20,0.09,-0.10,0.96,-48.52,-44.58,-7.74,0.97
1773566229.30,0.19,-0.16,1.12,-16.02,-4.70,20.52,1.15
1773566229.40,0.42,0.24,0.96,-102.49,-19.51,-19.65,1.08
1773566229.50,0.28,0.00,0.64,-30.56,-14.78,-55.10,0.70
