time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1773566944.1564069,0.17,-0.96,-0.02,12.0,-2.67,17.42,0.98
1773566944.2619,0.2,-0.95,-0.03,7.25,-12.57,23.79,0.97
1773566944.3681922,0.16,-0.98,-0.05,36.64,-4.12,21.13,0.99
1773566944.4881268,0.08,-0.98,0.07,17.37,1.33,41.01,0.99
1773566944.5739942,0.05,-0.97,0.01,5.11,-2.87,24.56,0.97
1773566944.6717925,0.02,-0.93,-0.01,15.08,10.37,39.88,0.93
1773566944.768303,-0.0,-0.92,0.04,68.96,20.99,42.58,0.92
1773566944.8785594,-0.06,-0.92,0.26,0.53,50.5,44.55,0.96
1773566944.9832232,-0.07,-1.02,0.1,15.86,52.53,25.31,1.02
1773566945.087622,-0.23,-1.08,0.18,72.4,50.24,32.53,1.12
1773566945.1924422,-0.38,-0.99,0.44,-15.25,41.92,-0.49,1.15
1773566945.2966678,-0.42,-1.05,0.34,-5.08,-5.37,22.95,1.18
1773566945.4098177,-0.41,-1.12,0.31,0.6,-1.24,-20.06,1.23
1773566945.5037982,-0.3,-1.0,0.2,-21.6,-3.97,-55.1,1.06
1773566945.6006916,-0.23,-0.92,0.22,-22.72,-11.6,-75.37,0.98
1773566945.7023628,-0.12,-0.81,0.22,-26.08,-36.14,-96.55,0.84
1773566945.802239,-0.05,-0.77,0.17,-28.73,-47.34,-106.35,0.8
1773566945.9129896,0.05,-0.79,0.08,-59.94,-39.94,-73.18,0.8
1773566946.014792,0.09,-0.66,0.07,-13.33,-61.13,3.21,0.67
1773566946.1272671,0.25,-0.95,-0.02,-47.3,-30.98,23.88,0.98
1773566946.2278252,-0.01,-0.96,0.21,36.98,-53.56,-19.48,0.98
1773566946.329534,0.15,-0.98,0.01,-79.25,-46.99,3.37,1.0
1773566946.4290862,0.03,-0.92,0.08,24.7,-27.05,0.78,0.92
1773566946.5289905,0.12,-0.91,0.04,-5.79,-39.99,9.98,0.92
1773566946.6347425,0.03,-1.06,0.06,-11.77,-23.16,20.76,1.06
